timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1597196996040,58,/ip/-64,200,OK,线程组 1-1,text,true,,409,340,1,1,http://wgeo.weather.com.cn/ip/?_=1593503657708,58,0,0
1597196996099,53,/ip/-66,200,OK,线程组 1-1,text,true,,409,340,1,1,http://wgeo.weather.com.cn/ip/?_=1593503657710,53,0,0
1597196996153,38,/ma.gif-68,200,OK,线程组 1-1,bin,true,,658,543,1,1,http://analyse.weather.com.cn/ma.gif?cc=0&ck=1&cl=24-bit&ds=1366x768&et=0&fl=32.0&ja=0&ln=zh-cn&lo=0&nv=0&rnd=1542693829&si=1&st=4&v=1.0.0&lv=1&tt=%E9%A6%96%E9%A1%B5-%E4%B8%AD%E5%9B%BD%E5%A4%A9%E6%B0%94%E7%BD%91&sn=20133&_st=1593503657765,38,0,0
1597196996197,65,/gsorganizationvalsha2g2-65,200,OK,线程组 1-1,text,true,,2596,448,1,1,http://ocsp2.globalsign.com/gsorganizationvalsha2g2,65,0,9
1597196996264,27,/m2/i/favicon.ico-69,200,OK,线程组 1-1,bin,true,,2904,314,1,1,http://www.weather.com.cn/m2/i/favicon.ico?v=3,26,0,10
1597196996292,95,/dingzhi/101040100.html-72,200,OK,线程组 1-1,text,true,,531,357,1,1,http://d1.weather.com.cn/dingzhi/101040100.html?_=1593503657978,94,0,31
1597196996388,81,/travel_rank/3A10104.html-71,200,OK,线程组 1-1,text,true,,851,359,1,1,http://d1.weather.com.cn/travel_rank/3A10104.html?_=1593503657976,81,0,0
1597196996470,65,/index_around_2017/101040100.html-70,200,OK,线程组 1-1,text,true,,863,367,1,1,http://d1.weather.com.cn/index_around_2017/101040100.html?_=1593503657975,65,0,0
1597196996536,67,/travel_rank/3A10104.html-74,200,OK,线程组 1-1,text,true,,851,359,1,1,http://d1.weather.com.cn/travel_rank/3A10104.html?_=1593503657999,57,0,0
1597196996603,68,/weather_index/101040100.html-73,200,OK,线程组 1-1,text,true,,2525,363,1,1,http://d1.weather.com.cn/weather_index/101040100.html?_=1593503657993,65,0,0
1597196996672,88,/weather2018/cy/pc/index/1.png-75,200,OK,线程组 1-1,bin,true,,1874,401,1,1,http://i.i8tq.com/weather2018/cy/pc/index/1.png?20180606,88,0,77
1597196989075,7493,,,"Number of samples in transaction : 67, number of failing samples : 1",线程组 1-1,,false,,1991199,26375,1,1,null,5099,192,616
